Days,Months,Years,??????? 3 ???,??????? 3 ???,??????? 3 ???,??????? 3 ???,??????? 2 ???
16,11,2013,069,304,672,753,28
1,12,2013,074,734,766,980,27
16,12,2013,111,228,742,826,79
30,12,2013,275,503,513,750,48
16,1,2014,077,149,242,510,52
1,2,2014,406,492,888,976,95
16,2,2014,074,397,521,530,01
1,3,2014,116,537,753,798,35
16,3,2014,250,305,400,904,79
1,4,2014,186,499,835,938,95
16,4,2014,013,344,355,634,26
2,5,2014,143,158,673,797,52
16,5,2014,112,150,246,505,20
1,6,2014,160,324,409,636,18
16,6,2014,140,158,576,639,95
1,7,2014,123,271,441,864,39
10,7,2014,104,117,205,944,45
1,8,2014,349,576,623,637,82
16,8,2014,187,633,639,912,91
1,9,2014,308,477,490,912,22
16,9,2014,112,257,342,790,35
1,10,2014,086,159,251,520,44
16,10,2014,647,784,848,910,94
1,11,2014,203,607,855,979,44
16,11,2014,179,422,480,709,25
1,12,2014,161,380,580,820,11
16,12,2014,080,763,775,901,90
30,12,2014,535,853,950,982,57
16,1,2015,068,398,595,877,74
1,2,2015,008,083,286,813,79
16,2,2015,103,392,825,843,90
1,3,2015,008,031,498,857,34
16,3,2015,339,622,623,757,92
1,4,2015,557,558,861,962,70
16,4,2015,101,164,495,973,38
2,5,2015,163,195,366,818,30
16,5,2015,484,799,851,928,38
2,6,2015,314,700,876,969,65
16,6,2015,253,386,429,532,05
1,7,2015,081,565,567,814,26
16,7,2015,294,461,761,830,49
1,8,2015,333,598,648,889,53
16,8,2015,227,624,648,781,40
1,9,2015,068,260,403,819,89
16,9,2015,084,209,375,435,06
1,10,2015,175,440,799,918,07
16,10,2015,054,134,412,457,62
1,11,2015,106,166,473,757,45
16,11,2015,028,241,643,802,03
1,12,2015,175,181,238,714,78
17,12,2015,094,140,250,638,08
30,12,2015,246,264,596,895,02
17,1,2016,031,532,743,786,50
1,2,2016,054,076,625,999,09
16,2,2016,309,312,535,699,98
1,3,2016,155,426,530,743,06
16,3,2016,004,855,877,973,32
1,4,2016,285,390,546,852,92
16,4,2016,008,228,507,523,87
2,5,2016,046,238,403,671,02
16,5,2016,087,268,382,975,98
1,6,2016,111,775,880,937,14
16,6,2016,251,321,749,804,79
1,7,2016,169,173,302,609,53
16,7,2016,158,552,734,925,55
1,8,2016,472,538,871,983,57
16,8,2016,366,596,631,966,33
1,9,2016,334,335,630,669,62
16,9,2016,043,160,493,583,42
1,10,2016,017,194,280,458,33
16,10,2016,032,587,692,885,98
1,11,2016,038,752,824,976,86
16,11,2016,040,558,570,682,44
1,12,2016,148,450,513,873,77
16,12,2016,199,366,596,716,35
30,12,2016,304,477,769,890,46
17,1,2017,511,516,663,836,25
1,2,2017,066,426,628,807,42
16,2,2017,128,375,464,953,14
1,3,2017,052,450,560,577,78
16,3,2017,324,694,918,941,92
1,4,2017,020,057,500,709,80
16,4,2017,241,766,807,973,40
2,5,2017,573,773,923,949,35
16,5,2017,008,396,490,603,53
1,6,2017,121,218,581,881,61
16,6,2017,373,626,740,878,47
1,7,2017,005,226,489,688,26
16,7,2017,390,584,823,835,87
1,8,2017,061,386,787,989,36
16,8,2017,115,253,302,945,37
1,9,2017,195,278,345,679,65
16,9,2017,172,340,388,647,71
1,10,2017,462,611,726,952,52
16,10,2017,128,180,287,971,86
1,11,2017,036,165,425,485,85
16,11,2017,477,628,831,961,98
1,12,2017,257,303,601,626,33
16,12,2017,290,616,836,938,89
30,12,2017,373,495,504,953,98
17,1,2018,236,397,624,799,50
1,2,2018,106,181,519,947,31
16,2,2018,007,230,388,748,39
2,3,2018,318,589,723,870,29
16,3,2018,064,205,489,720,82
1,4,2018,131,638,787,924,85
16,4,2018,076,273,526,654,60
2,5,2018,225,527,602,680,85
16,5,2018,047,130,357,506,20
1,6,2018,248,310,553,650,95
16,6,2018,132,432,507,868,46
1,7,2018,210,217,429,901,83
16,7,2018,138,362,403,530,27
1,8,2018,549,726,832,903,78
16,8,2018,340,591,670,815,10
1,9,2018,097,202,464,512,26
16,9,2018,155,297,323,539,79
1,10,2018,561,594,726,810,99
16,10,2018,186,192,212,392,93
1,11,2018,046,384,509,576,58
